Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ACTIVIEW-ELECTRODE-PCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\dyho9085\Documents\GitHub\ACTIVIEW-ELECTRODE-PCB\ACTIVIEW-ELECTRODE-PCB.PrjPcb|ReportField=Title~Bill of Materials For Project [ACTIVIEW-ELECTRODE-PCB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~13|ReportField=ReportTime~12:05:26 PM|ReportField=ReportDate~2/7/2019|ReportField=ReportDateTime~2/7/2019 12:05:26 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/7/2019|ReportField=CurrentTime~11:27:36 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\dyho9085\Documents\GitHub\ACTIVIEW-ELECTRODE-PCB\Active_Electrode.SchDoc|ReportField=DocumentName~Active_Electrode.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/7/2019|ReportField=Organization~|ReportField=ProjectName~ACTIVIEW-ELECTRODE-PCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ACTIVIEW-ELECTRODE-PCB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\dyho9085\Documents\GitHub\ACTIVIEW-ELECTRODE-PCB\ACTIVIEW-ELECTRODE-PCB.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|47pF||C1|CAPACITOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C470J5GACTU%26seller%3DDigi-Key%26sku%3D399-1056-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C470J5GACTU%26seller%3DDigi-Key%26sku%3D399-1056-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-1056-1-ND{URL.TIP}Supplier|0.19|47pF
2|22pF||C2|CAPACITOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402JRNPO9BN220%26seller%3DDigi-Key%26sku%3D311-1018-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402JRNPO9BN220%26seller%3DDigi-Key%26sku%3D311-1018-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1018-1-ND{URL.TIP}Supplier|0.1|22pF
3|3.3uF||C3|CAPACITOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402JRNPO9BN220%26seller%3DDigi-Key%26sku%3D311-1018-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402JRNPO9BN220%26seller%3DDigi-Key%26sku%3D311-1018-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1018-1-ND{URL.TIP}Supplier|0.1|3.3uF
4|50nF||C4|CAPACITOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04025A470JAT2A%26seller%3DDigi-Key%26sku%3D478-1078-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04025A470JAT2A%26seller%3DDigi-Key%26sku%3D478-1078-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}478-1078-1-ND{URL.TIP}Supplier|0.19|50nF
5|Electrode_Snap||E1|Electrode_Snap|{URL}{URL.TEXT}{URL.TIP}Component|1||{URL}{URL.TEXT}{URL.TIP}Supplier||
6|Electrode Header||H1|Electrode Header|{URL}{URL.TEXT}{URL.TIP}Component|1||{URL}{URL.TEXT}{URL.TIP}Supplier||
7|1M||R1|RESISTOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Beyschlag{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCS0402-1.00K-CFCT-ND{URL.TIP}Supplier|0.3|1M
8|110k||R2|RESISTOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Beyschlag{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCS0402-1.00K-CFCT-ND{URL.TIP}Supplier|0.3|110k
9|1K||R3|RESISTOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Beyschlag{URL.TIP}Component|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCS0402-1.00K-CFCT-ND{URL.TIP}Supplier|0.3|1K
10|2M||R4, R5|RESISTOR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Beyschlag{URL.TIP}Component|2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCS04020C1001FE000%26seller%3DDigi-Key%26sku%3DMCS0402-1.00K-CFCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCS0402-1.00K-CFCT-ND{URL.TIP}Supplier|0.3|2M
